Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.43961,28.585798816568047,0.030218035,-0.2293471502974762,-0.2293471502974762,1.0
20000,1.4442867,28.35777126099707,-0.065655,-0.2398240175589788,-0.2398240175589788,1.0
30000,1.4386389,26.938375350140056,-0.12492812,-0.14642455316455671,-0.14642455316455671,1.0
40000,1.42267,27.14887640449438,-0.12942612,-0.2851548990733187,-0.2851548990733187,1.0
50000,1.4366962,28.04385964912281,-0.17443302,-0.2779299985215546,-0.2779299985215546,1.0
60000,1.4439473,27.658045977011493,-0.2083603,-0.33405169399305323,-0.33405169399305323,1.0
70000,1.4331328,31.485530546623796,-0.25903812,-0.24609673849997982,-0.24609673849997982,1.0
80000,1.4174745,26.67590027700831,-0.20871146,-0.05964085599664825,-0.05964085599664825,1.0
90000,1.4068321,20.841304347826085,-0.13313161,0.13554349917432537,0.13554349917432537,1.0
100000,1.3949071,17.527001862197395,-0.024752658,0.2541713373843074,0.2541713373843074,1.0
110000,1.379824,15.30668841761827,0.08364245,0.36401306231298025,0.36401306231298025,1.0
120000,1.3362012,11.003597122302159,0.23488536,0.4775539650905618,0.4775539650905618,1.0
130000,1.2883755,9.722103004291846,0.3794282,0.5743025816305513,0.5743025816305513,1.0
140000,1.2592402,8.735150925024342,0.47215167,0.5854527823764835,0.5854527823764835,1.0
150000,1.2007134,7.006405124099279,0.5892175,0.6593514873181657,0.6593514873181657,1.0
160000,1.157331,6.357615894039735,0.65496784,0.6832671142220935,0.6832671142220935,1.0
170000,1.0939181,5.519556714471968,0.72713286,0.7166688450778479,0.7166688450778479,1.0
180000,1.0495237,5.133742331288343,0.77035266,0.6923251599256246,0.6923251599256246,1.0
190000,0.9954245,4.470459518599562,0.7793985,0.7691794368122548,0.7691794368122548,1.0
200000,0.94861096,4.293806246691371,0.804052,0.7611858185288009,0.7611858185288009,1.0
210000,0.91626906,4.0823170731707314,0.8125681,0.7518800869584084,0.7518800869584084,1.0
220000,0.86355907,3.7975047984644914,0.8151751,0.7366235073521841,0.7366235073521841,1.0
230000,0.8417303,3.7646498332539307,0.84333426,0.7842666728155954,0.7842666728155954,1.0
240000,0.79616225,3.576923076923077,0.8592866,0.765494511377462,0.765494511377462,1.0
250000,0.77437514,3.4014084507042255,0.8416336,0.7705633862495003,0.7705633862495003,1.0
260000,0.7501454,3.38640350877193,0.82196796,0.7863333399097124,0.7863333399097124,1.0
270000,0.71413547,3.3294372294372296,0.8342831,0.7893033386927464,0.7893033386927464,1.0
280000,0.6876286,3.2548936170212768,0.83552957,0.7699957513048293,0.7699957513048293,1.0
290000,0.6584054,3.190695725062867,0.8370892,0.8004484559094716,0.8004484559094716,1.0
300000,0.6228179,3.0679414157851914,0.85140187,0.8140057002494567,0.8140057002494567,1.0
310000,0.5940612,2.95607439651761,0.84742486,0.7908307032636072,0.7908307032636072,1.0
320000,0.5678221,2.930817610062893,0.85029113,0.7985220195830993,0.7985220195830993,1.0
