Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
820000,0.8610138,-0.016050564,351.3333333333333,-0.46157895038394553,-0.46157895038394553,0.0014602189,0.13024613,0.0002513967,1.0
840000,0.8935219,-0.016806018,349.87719298245617,-0.4592982484517913,-0.4592982484517913,0.0014462617,0.13322023,0.00025019585,1.0
860000,0.8230131,-0.01819627,349.0,-0.48245614410884546,-0.48245614410884546,0.0015917222,0.1343069,0.00024899465,1.0
880000,0.9937839,-0.017596306,350.7857142857143,-0.47071429059308556,-0.47071429059308556,0.0015306545,0.13282946,0.00024779345,1.0
900000,0.9100376,-0.017385788,357.92857142857144,-0.44392857341361897,-0.44392857341361897,0.0013127299,0.13294199,0.00024660004,1.0
920000,0.9862217,-0.017496934,379.188679245283,-0.43830188943670606,-0.43830188943670606,0.001220517,0.13282472,0.00024540725,1.0
940000,0.9960367,-0.016243769,357.3392857142857,-0.47660714560853584,-0.47660714560853584,0.0015218423,0.12954351,0.00024420678,1.0
960000,1.00657,-0.015218423,358.3818181818182,-0.42490909143605016,-0.42490909143605016,0.001273056,0.13138023,0.00024300603,1.0
980000,0.9376471,-0.016715135,349.2931034482759,-0.44844827974407836,-0.44844827974407836,0.0013985711,0.13246198,0.00024180516,1.0
1000000,0.8492273,-0.015133204,349.0,-0.40473684626059575,-0.40473684626059575,0.0011478594,0.1343123,0.00024060426,1.0
1020000,0.96028113,-0.017120736,351.05263157894734,-0.41571428503708113,-0.41571428503708113,0.0013062529,0.13235815,0.00023940319,1.0
1040000,0.9397762,-0.017052457,350.7857142857143,-0.44368421332093705,-0.44368421332093705,0.0015139461,0.13442293,0.00023820254,1.0
1060000,0.92671067,-0.015141395,349.0,-0.4598245647523487,-0.4598245647523487,0.0015220557,0.13022779,0.00023700143,1.0
1080000,0.8571783,-0.016396264,349.0,-0.45086207157322045,-0.45086207157322045,0.0014251078,0.1323994,0.00023580021,1.0
1100000,0.9043038,-0.015842099,349.0,-0.44508772313986955,-0.44508772313986955,0.0013772039,0.12930624,0.00023459902,1.0
1120000,0.71982753,-0.01616387,356.42857142857144,-0.4535714317379253,-0.4535714317379253,0.0014155493,0.13182054,0.00023339812,1.0
